Number of Samples,Time (Sec),fixed_g_min,fixed_g_max,heli_g_min,heli_g_max,aft_g_min,aft_g_max
1,0.000625,1989,2486,1492,2486,3000,3000
2,0.00125,995,1243,746,1243,3000,3000
3,0.001875,663,829,497,829,3000,3000
4,0.0025,497,622,373,622,3000,3000
5,0.003125,398,497,298,497,3000,3000
6,0.00375,332,414,249,414,3000,3000
7,0.004375,284,355,213,355,3000,3000
8,0.005,249,311,186,311,3000,3000
9,0.005625,221,276,166,276,3000,3000
10,0.00625,199,249,149,249,85,3000
11,0.006875,181,226,136,226,85,3000
12,0.0075,166,207,124,207,85,3000
13,0.008125,153,191,115,191,85,3000
14,0.00875,142,178,107,178,85,3000
15,0.009375,133,166,99,166,85,3000
16,0.01,124,155,93,155,85,115
17,0.010625,117,146,88,146,85,115
18,0.01125,111,138,83,138,85,115
19,0.011875,105,131,79,131,85,115
20,0.0125,99,124,75,124,85,115
21,0.013125,95,118,71,118,85,115
22,0.01375,90,113,68,113,85,115
23,0.014375,86,108,65,108,85,115
24,0.015,83,104,62,104,85,115
25,0.015625,80,99,60,99,85,115
26,0.01625,77,96,60,96,85,115
27,0.016875,74,92,60,92,85,115
28,0.0175,71,89,60,89,85,115
29,0.018125,69,86,60,86,85,115
30,0.01875,66,83,60,83,85,115
31,0.019375,64,80,60,80,85,115
32,0.02,62,78,60,80,85,115
33,0.020625,60,75,60,80,85,115
34,0.02125,59,73,60,80,85,115
35,0.021875,57,71,60,80,85,115
36,0.0225,55,69,60,80,85,115
37,0.023125,54,67,60,80,85,115
38,0.02375,52,65,60,80,85,115
39,0.024375,51,64,60,80,85,115
40,0.025,50,62,60,80,85,115
41,0.025625,49,61,60,80,85,115
42,0.02625,47,59,60,80,85,115
43,0.026875,46,58,60,80,85,115
44,0.0275,45,57,60,80,85,115
45,0.028125,44,55,60,80,85,115
46,0.02875,43,54,60,80,85,115
47,0.029375,42,53,60,80,85,115
48,0.03,41,52,60,80,85,115
49,0.030625,41,51,60,80,85,115
50,0.03125,40,50,60,80,85,115
51,0.031875,39,49,60,80,85,115
52,0.0325,38,48,60,80,85,115
53,0.033125,38,47,60,80,85,115
54,0.03375,37,46,60,80,85,115
55,0.034375,36,45,60,80,85,115
56,0.035,36,44,60,80,85,115
57,0.035625,35,44,60,80,85,115
58,0.03625,34,43,60,80,85,115
59,0.036875,34,42,60,80,85,115
60,0.0375,33,41,60,80,85,115
61,0.038125,33,41,60,80,85,115
62,0.03875,32,40,60,80,85,115
63,0.039375,32,39,60,80,85,115
64,0.04,31,39,60,80,85,115
65,0.040625,31,38,60,80,85,115
66,0.04125,30,38,60,80,85,115
67,0.041875,30,37,60,80,85,115
68,0.0425,29,37,60,80,85,115
69,0.043125,29,36,60,80,85,115
70,0.04375,28,36,60,80,85,115
71,0.044375,28,35,60,80,85,115
72,0.045,28,35,60,80,85,115
73,0.045625,27,34,60,80,85,115
74,0.04625,27,34,60,80,85,115
75,0.046875,27,33,60,80,85,115
76,0.0475,26,33,60,80,85,115
77,0.048125,26,32,60,80,85,115
78,0.04875,26,32,60,80,85,115
79,0.049375,25,31,60,80,85,115
80,0.05,25,31,60,80,85,115
81,0.050625,25,31,60,80,85,115
82,0.05125,24,30,60,80,85,115
83,0.051875,24,30,60,80,85,115
84,0.0525,24,30,60,80,85,115
85,0.053125,23,29,60,80,85,115
86,0.05375,23,29,60,80,85,115
87,0.054375,23,29,60,80,85,115
88,0.055,23,28,60,80,85,115
89,0.055625,22,28,60,80,85,115
90,0.05625,22,28,60,80,85,115
91,0.056875,22,27,60,80,85,115
92,0.0575,22,27,60,80,85,115
93,0.058125,21,27,60,80,85,115
94,0.05875,21,26,60,80,85,115
95,0.059375,21,26,60,80,85,115
96,0.06,21,26,60,80,85,115
97,0.060625,21,26,60,80,85,115
98,0.06125,20,26,60,80,85,115
99,0.061875,20,26,60,80,85,115
100,0.0625,20,26,60,80,85,115
101,0.063125,20,26,60,80,85,115
102,0.06375,20,26,60,80,85,115
103,0.064375,20,26,60,80,85,115
104,0.065,20,26,60,80,85,115
105,0.065625,20,26,60,80,85,115
106,0.06625,20,26,60,80,85,115
107,0.066875,20,26,60,80,85,115
108,0.0675,20,26,60,80,85,115
109,0.068125,20,26,60,80,85,115
110,0.06875,20,26,60,80,85,115
111,0.069375,20,26,60,80,85,115
112,0.07,20,26,60,80,85,115
113,0.070625,20,26,60,80,85,115
114,0.07125,20,26,60,80,85,115
115,0.071875,20,26,60,80,85,115
116,0.0725,20,26,60,80,85,115
117,0.073125,20,26,60,80,85,115
118,0.07375,20,26,60,80,85,115
119,0.074375,20,26,60,80,85,115
120,0.075,20,26,60,80,85,115
121,0.075625,20,26,60,80,85,115
122,0.07625,20,26,60,80,85,115
123,0.076875,20,26,60,80,85,115
124,0.0775,20,26,60,80,85,115
125,0.078125,20,26,60,80,85,115
126,0.07875,20,26,60,80,85,115
127,0.079375,20,26,60,80,85,115
128,0.08,20,26,60,80,85,115
129,0.080625,20,26,60,80,85,115
130,0.08125,20,26,60,80,85,115
131,0.081875,20,26,60,80,85,115
132,0.0825,20,26,60,80,85,115
133,0.083125,20,26,60,80,85,115
134,0.08375,20,26,60,80,85,115
135,0.084375,20,26,60,80,85,115
136,0.085,20,26,60,80,85,115
137,0.085625,20,26,60,80,85,115
138,0.08625,20,26,60,80,85,115
139,0.086875,20,26,60,80,85,115
140,0.0875,20,26,60,80,85,115
141,0.088125,20,26,60,80,85,115
142,0.08875,20,26,60,80,85,115
143,0.089375,20,26,60,80,85,115
144,0.09,20,26,60,80,85,115
145,0.090625,20,26,60,80,85,115
146,0.09125,20,26,60,80,85,115
147,0.091875,20,26,60,80,85,115
148,0.0925,20,26,60,80,85,115
149,0.093125,20,26,60,80,85,115
150,0.09375,20,26,60,80,85,115
151,0.094375,20,26,60,80,85,115
152,0.095,20,26,60,80,85,115
153,0.095625,20,26,60,80,85,115
154,0.09625,20,26,60,80,85,115
155,0.096875,20,26,60,80,85,115
156,0.0975,20,26,60,80,85,115
157,0.098125,20,26,60,80,85,115
158,0.09875,20,26,60,80,85,115
159,0.099375,20,26,60,80,85,115
160,0.1,20,26,60,80,85,115
161,0.100625,20,26,60,80,85,115
162,0.10125,20,26,60,80,85,115
163,0.101875,20,26,60,80,85,115
164,0.1025,20,26,60,80,85,115
165,0.103125,20,26,60,80,85,115
166,0.10375,20,26,60,80,85,115
167,0.104375,20,26,60,80,85,115
168,0.105,20,26,60,80,85,115
169,0.105625,20,26,60,80,85,115
170,0.10625,20,26,60,80,85,115